0,1,2,3,4,5,6,7,8,9,10,11,12,13,true_label,predicted_label
45.0,0.0,13.0,280570.0,0.0,39.0,9.0,4.0,4.0,1.0,0.0,2.0,39.0,4.0,0,1
40.0,0.0,9.0,254949.0,0.0,57.0,11.0,4.0,7.0,1.0,0.0,2.0,39.0,4.0,1,0
40.0,0.0,13.0,32185.0,0.0,41.0,9.0,4.0,5.0,1.0,0.0,2.0,39.0,13.0,0,1
50.0,0.0,11.0,325537.0,0.0,65.0,8.0,4.0,0.0,1.0,0.0,2.0,39.0,0.0,1,0
35.0,0.0,16.0,347491.0,0.0,36.0,10.0,4.0,6.0,1.0,0.0,2.0,39.0,10.0,0,1
53.0,0.0,9.0,190257.0,0.0,55.0,11.0,4.0,4.0,1.0,0.0,2.0,39.0,5.0,1,0
40.0,0.0,13.0,331831.0,0.0,35.0,9.0,4.0,4.0,1.0,0.0,2.0,39.0,12.0,0,1
50.0,0.0,2.0,117295.0,0.0,52.0,3.0,4.0,4.0,1.0,0.0,2.0,39.0,4.0,1,0
75.0,0.0,9.0,20809.0,0.0,42.0,11.0,4.0,4.0,1.0,1.0,0.0,39.0,3.0,1,0
40.0,0.0,14.0,284582.0,0.0,37.0,12.0,4.0,4.0,0.0,5.0,2.0,39.0,4.0,0,1
50.0,0.0,14.0,321086.0,0.0,42.0,12.0,4.0,0.0,1.0,0.0,2.0,39.0,0.0,0,1
40.0,0.0,9.0,187493.0,0.0,71.0,11.0,4.0,4.0,1.0,0.0,2.0,39.0,11.0,1,0
40.0,0.0,9.0,100931.0,0.0,59.0,11.0,4.0,1.0,1.0,0.0,2.0,39.0,1.0,1,0
40.0,0.0,13.0,192589.0,0.0,41.0,9.0,4.0,1.0,1.0,0.0,2.0,39.0,1.0,0,1
64.0,0.0,9.0,231948.0,0.0,36.0,11.0,4.0,4.0,1.0,0.0,2.0,39.0,3.0,1,0
16.0,0.0,9.0,148903.0,0.0,35.0,11.0,4.0,4.0,0.0,5.0,2.0,39.0,8.0,1,0
40.0,0.0,13.0,258298.0,2231.0,23.0,9.0,4.0,6.0,1.0,3.0,4.0,39.0,1.0,1,0
40.0,0.0,10.0,109912.0,0.0,42.0,15.0,4.0,4.0,0.0,1.0,4.0,39.0,13.0,1,0
50.0,0.0,9.0,323055.0,0.0,31.0,11.0,4.0,4.0,1.0,0.0,2.0,39.0,14.0,1,0
50.0,0.0,10.0,187715.0,0.0,46.0,15.0,4.0,4.0,1.0,0.0,2.0,39.0,12.0,0,1
40.0,0.0,9.0,187411.0,0.0,38.0,11.0,4.0,5.0,1.0,0.0,2.0,39.0,4.0,1,0
99.0,2407.0,12.0,178356.0,0.0,53.0,7.0,4.0,4.0,1.0,0.0,2.0,39.0,4.0,0,1
45.0,0.0,13.0,207201.0,0.0,32.0,9.0,4.0,4.0,1.0,1.0,4.0,39.0,10.0,1,0
40.0,0.0,9.0,210736.0,0.0,54.0,11.0,4.0,4.0,1.0,0.0,2.0,39.0,3.0,1,0
36.0,0.0,11.0,97757.0,0.0,30.0,8.0,4.0,4.0,0.0,5.0,2.0,39.0,10.0,1,0
50.0,0.0,11.0,147284.0,0.0,32.0,8.0,4.0,4.0,1.0,0.0,2.0,39.0,12.0,1,0
40.0,0.0,3.0,53833.0,0.0,54.0,4.0,4.0,4.0,1.0,0.0,2.0,39.0,14.0,1,0
40.0,0.0,9.0,168211.0,0.0,49.0,11.0,4.0,4.0,1.0,0.0,2.0,39.0,11.0,1,0
4.0,0.0,10.0,148065.0,0.0,70.0,15.0,4.0,0.0,1.0,0.0,2.0,39.0,0.0,1,0
45.0,0.0,10.0,336513.0,0.0,44.0,15.0,4.0,4.0,1.0,0.0,2.0,39.0,10.0,0,1
40.0,0.0,10.0,138022.0,0.0,50.0,15.0,4.0,4.0,1.0,0.0,2.0,39.0,10.0,0,1
30.0,0.0,9.0,102110.0,0.0,49.0,11.0,4.0,6.0,1.0,0.0,2.0,39.0,13.0,1,0
40.0,0.0,9.0,99131.0,0.0,59.0,11.0,4.0,4.0,0.0,5.0,2.0,39.0,1.0,0,1
62.0,0.0,13.0,62396.0,0.0,34.0,9.0,4.0,5.0,0.0,1.0,4.0,39.0,10.0,1,0
45.0,0.0,14.0,117381.0,0.0,37.0,12.0,4.0,4.0,1.0,0.0,2.0,39.0,10.0,0,1
60.0,0.0,13.0,270194.0,0.0,50.0,9.0,4.0,4.0,1.0,0.0,2.0,39.0,4.0,0,1
40.0,0.0,9.0,95299.0,0.0,30.0,11.0,1.0,4.0,1.0,0.0,2.0,40.0,7.0,1,0
98.0,0.0,9.0,195462.0,0.0,52.0,11.0,4.0,6.0,1.0,0.0,2.0,39.0,5.0,1,0
50.0,0.0,9.0,168660.0,0.0,51.0,11.0,4.0,4.0,1.0,0.0,2.0,39.0,4.0,0,1
35.0,0.0,9.0,150079.0,0.0,63.0,11.0,4.0,2.0,0.0,5.0,2.0,39.0,1.0,1,0
